variable,frequency,timestep,br_level,br_size,br_ratio,all_br_levs
CLOUD,daily,20,5,,,[5.0]
CLOUD,daily,21,5,,,[5.0]
CLOUD,daily,22,5,,,[5.0]
CLOUD,daily,23,5,,,[5.0]
CLOUD,daily,24,5,,,[5.0]
CLOUD,daily,25,5,,,[5.0]
CLOUD,daily,26,5,,,[5.0]
CLOUD,daily,27,5,,,[5.0]
CLOUD,daily,28,5,,,[5.0]
CLOUD,daily,29,5,,,[5.0]
CLOUD,daily,30,5,,,[5.0]
CLOUD,daily,31,5,,,[5.0]
CLOUD,daily,32,5,,,[5.0]
CLOUD,daily,33,5,,,[5.0]
CLOUD,daily,34,5,,,[5.0]
CLOUD,daily,35,5,,,[5.0]
CLOUD,daily,36,5,,,[5.0]
CLOUD,daily,37,5,,,[5.0]
CLOUD,daily,38,5,,,[5.0]
CLOUD,daily,39,5,,,[5.0]
CLOUD,daily,40,5,,,[5.0]
CLOUD,daily,41,5,,,[5.0]
CLOUD,daily,42,5,,,[5.0]
CLOUD,daily,43,5,,,[5.0]
CLOUD,daily,44,5,,,[5.0]
CLOUD,daily,45,5,,,[5.0]
CLOUD,daily,46,5,,,[5.0]
CLOUD,daily,47,5,,,[5.0]
CLOUD,daily,48,6,,,[6.0]
CLOUD,daily,49,5,,,[5.0]
CLOUD,daily,50,5,,,[5.0]
CLOUD,daily,51,5,,,[5.0]
CLOUD,daily,52,5,,,[5.0]
CLOUD,daily,53,5,,,[5.0]
CLOUD,daily,54,5,,,[5.0]
CLOUD,daily,55,5,,,[5.0]
CLOUD,daily,56,5,,,[5.0]
CLOUD,daily,57,5,,,[5.0]
CLOUD,daily,58,5,,,[5.0]
CLOUD,daily,59,5,,,[5.0]
FLNS,daily,0,7,,,[7.0]
FLNS,daily,1,7,,,[7.0]
FLNS,daily,2,7,,,[7.0]
FLNS,daily,3,7,,,[7.0]
FLNS,daily,4,7,,,[7.0]
FLNS,daily,5,6,,,[6.0]
FLNS,daily,6,7,,,[7.0]
FLNS,daily,7,7,,,[7.0]
FLNS,daily,8,7,,,[7.0]
FLNS,daily,9,7,,,[7.0]
FLNS,daily,10,7,,,[7.0]
FLNS,daily,11,7,,,[7.0]
FLNS,daily,12,7,,,[7.0]
FLNS,daily,13,7,,,[7.0]
FLNS,daily,14,7,,,[7.0]
FLNS,daily,15,7,,,[7.0]
FLNS,daily,16,7,,,[7.0]
FLNS,daily,17,7,,,[7.0]
FLNS,daily,18,7,,,[7.0]
FLNS,daily,19,7,,,[7.0]
FLNS,daily,20,7,,,[7.0]
FLNS,daily,21,7,,,[7.0]
FLNS,daily,22,7,,,[7.0]
FLNS,daily,23,7,,,[7.0]
FLNS,daily,24,7,,,[7.0]
FLNS,daily,25,7,,,[7.0]
FLNS,daily,26,7,,,[7.0]
FLNS,daily,27,7,,,[7.0]
FLNS,daily,28,7,,,[7.0]
FLNS,daily,29,7,,,[7.0]
FLNS,daily,30,7,,,[7.0]
FLNS,daily,31,7,,,[7.0]
FLNS,daily,32,7,,,[7.0]
FLNS,daily,33,7,,,[7.0]
FLNS,daily,34,7,,,[7.0]
FLNS,daily,35,7,,,[7.0]
FLNS,daily,36,7,,,[7.0]
FLNS,daily,37,7,,,[7.0]
FLNS,daily,38,7,,,[7.0]
FLNS,daily,39,7,,,[7.0]
FLNS,daily,40,7,,,[7.0]
FLNS,daily,41,7,,,[7.0]
FLNS,daily,42,7,,,[7.0]
FLNS,daily,43,7,,,[7.0]
FLNS,daily,44,7,,,[7.0]
FLNS,daily,45,7,,,[7.0]
FLNS,daily,46,7,,,[7.0]
FLNS,daily,47,7,,,[7.0]
FLNS,daily,48,7,,,[7.0]
FLNS,daily,49,7,,,[7.0]
FLNS,daily,50,7,,,[7.0]
FLNS,daily,51,7,,,[7.0]
FLNS,daily,52,7,,,[7.0]
FLNS,daily,53,7,,,[7.0]
FLNS,daily,54,7,,,[7.0]
FLNS,daily,55,7,,,[7.0]
FLNS,daily,56,7,,,[7.0]
FLNS,daily,57,7,,,[7.0]
FLNS,daily,58,7,,,[7.0]
FLNS,daily,59,7,,,[7.0]
FLNT,daily,0,9,,,[9.0]
FLNT,daily,1,9,,,[9.0]
FLNT,daily,2,9,,,[9.0]
FLNT,daily,3,10,,,[10.0]
FLNT,daily,4,10,,,[10.0]
FLNT,daily,5,9,,,[9.0]
FLNT,daily,6,10,,,[10.0]
FLNT,daily,7,10,,,[10.0]
FLNT,daily,8,10,,,[10.0]
FLNT,daily,9,10,,,[10.0]
FLNT,daily,10,10,,,[10.0]
FLNT,daily,11,10,,,[10.0]
FLNT,daily,12,9,,,[9.0]
FLNT,daily,13,9,,,[9.0]
FLNT,daily,14,9,,,[9.0]
FLNT,daily,15,9,,,[9.0]
FLNT,daily,16,10,,,[10.0]
FLNT,daily,17,10,,,[10.0]
FLNT,daily,18,10,,,[10.0]
FLNT,daily,19,9,,,[9.0]
FLNT,daily,20,10,,,[10.0]
FLNT,daily,21,10,,,[10.0]
FLNT,daily,22,10,,,[10.0]
FLNT,daily,23,10,,,[10.0]
FLNT,daily,24,10,,,[10.0]
FLNT,daily,25,10,,,[10.0]
FLNT,daily,26,10,,,[10.0]
