variable,level,size
soa_a1_SRF,br_19,115862236
soa_a1_SRF,br_20,119846875
soa_a1_SRF,br_21,123609047
soa_a1_SRF,br_22,127370437
soa_a2_SRF,orig,134162158
soa_a2_SRF,br_1,27651148
soa_a2_SRF,br_2,32361817
soa_a2_SRF,br_3,37085085
soa_a2_SRF,br_4,41811458
soa_a2_SRF,br_5,45979366
soa_a2_SRF,br_6,50353027
soa_a2_SRF,br_7,55536133
soa_a2_SRF,br_8,64750528
soa_a2_SRF,br_9,69836183
soa_a2_SRF,br_10,73313122
soa_a2_SRF,br_11,78291534
soa_a2_SRF,br_12,82926874
soa_a2_SRF,br_13,86317846
soa_a2_SRF,br_14,91009171
soa_a2_SRF,br_15,95358012
soa_a2_SRF,br_16,105319200
soa_a2_SRF,br_17,108943282
soa_a2_SRF,br_18,113945251
soa_a2_SRF,br_19,118656025
soa_a2_SRF,br_20,122622641
soa_a2_SRF,br_21,126362934
soa_a2_SRF,br_22,130087148
T010,orig,83226833
T010,br_1,1874206
T010,br_2,1692482
T010,br_3,2022034
T010,br_4,2667768
T010,br_5,3513000
T010,br_6,4847558
T010,br_7,6738426
T010,br_8,12608872
T010,br_9,15511272
T010,br_10,18351545
T010,br_11,20875328
T010,br_12,24646297
T010,br_13,29695157
T010,br_14,36249320
T010,br_15,43894440
T010,br_16,53452938
T010,br_17,57738599
T010,br_18,62082653
T010,br_19,66779796
T010,br_20,70875233
T010,br_21,74684154
T010,br_22,78951155
T200,orig,91621173
T200,br_1,1705628
T200,br_2,2115506
T200,br_3,3209314
T200,br_4,3885044
T200,br_5,5947555
T200,br_6,8084329
T200,br_7,10938069
T200,br_8,19785117
T200,br_9,22987684
T200,br_10,26959809
T200,br_11,31239379
T200,br_12,36979272
T200,br_13,41384330
T200,br_14,45786785
T200,br_15,51604661
T200,br_16,60635431
T200,br_17,66078412
T200,br_18,69262673
T200,br_19,74207233
T200,br_20,78725589
T200,br_21,82279780
T200,br_22,87278964
T500,orig,90493836
T500,br_1,1477428
T500,br_2,2039082
T500,br_3,2419000
T500,br_4,3644313
T500,br_5,5327582
T500,br_6,7109600
T500,br_7,9890084
T500,br_8,18288788
T500,br_9,21659506
T500,br_10,25189140
T500,br_11,29400354
T500,br_12,35049288
T500,br_13,39263257
T500,br_14,45112778
T500,br_15,50331986
T500,br_16,59455198
T500,br_17,64817451
T500,br_18,68048527
T500,br_19,72938692
T500,br_20,77456510
T500,br_21,81004071
T500,br_22,86048140
T850,orig,92431646
T850,br_1,1581385
T850,br_2,2796740
T850,br_3,2770445
T850,br_4,3963785
T850,br_5,5951353
T850,br_6,8788107
