variable,level,size
CLDHGH,zfp_p_10,11544734
CLDHGH,zfp_p_12,16466756
CLDHGH,zfp_p_14,21433279
CLDHGH,zfp_p_16,26409565
CLDHGH,zfp_p_18,31386083
CLDHGH,zfp_p_20,36362631
CLDHGH,zfp_p_22,41339090
CLDHGH,zfp_p_24,46315550
CLDHGH,zfp_p_26,51292021
CLDICE,orig,2077496
CLDICE,zfp_p_6,905552
CLDICE,zfp_p_8,1002986
CLDICE,zfp_p_10,1101400
CLDICE,zfp_p_12,1200136
CLDICE,zfp_p_14,1298907
CLDICE,zfp_p_16,1397696
CLDICE,zfp_p_18,1496475
CLDICE,zfp_p_20,1595262
CLDICE,zfp_p_22,1694042
CLDICE,zfp_p_24,1792831
CLDICE,zfp_p_26,1891613
CLDLIQ,orig,892057
CLDLIQ,zfp_p_6,598943
CLDLIQ,zfp_p_8,602130
CLDLIQ,zfp_p_10,605307
CLDLIQ,zfp_p_12,608494
CLDLIQ,zfp_p_14,611664
CLDLIQ,zfp_p_16,614851
CLDLIQ,zfp_p_18,618021
CLDLIQ,zfp_p_20,621208
CLDLIQ,zfp_p_22,624378
CLDLIQ,zfp_p_24,627565
CLDLIQ,zfp_p_26,630735
CLDLOW,orig,58116960
CLDLOW,zfp_p_6,4354607
CLDLOW,zfp_p_8,7627400
CLDLOW,zfp_p_10,12232682
CLDLOW,zfp_p_12,17002490
CLDLOW,zfp_p_14,21793939
CLDLOW,zfp_p_16,26586033
CLDLOW,zfp_p_18,31378135
CLDLOW,zfp_p_20,36170228
CLDLOW,zfp_p_22,40962328
CLDLOW,zfp_p_24,45754418
CLDLOW,zfp_p_26,50546511
CLDMED,orig,61495590
CLDMED,zfp_p_6,4604250
CLDMED,zfp_p_8,7941898
CLDMED,zfp_p_10,12618755
CLDMED,zfp_p_12,17546970
CLDMED,zfp_p_14,22512289
CLDMED,zfp_p_16,27482276
CLDMED,zfp_p_18,32452129
CLDMED,zfp_p_20,37421978
CLDMED,zfp_p_22,42391824
CLDMED,zfp_p_24,47361652
CLDMED,zfp_p_26,52331496
CLDTOT,orig,58428627
CLDTOT,zfp_p_6,4027701
CLDTOT,zfp_p_8,6478512
CLDTOT,zfp_p_10,11078138
CLDTOT,zfp_p_12,16005784
CLDTOT,zfp_p_14,20977939
CLDTOT,zfp_p_16,25954866
CLDTOT,zfp_p_18,30931533
CLDTOT,zfp_p_20,35908265
CLDTOT,zfp_p_22,40884899
CLDTOT,zfp_p_24,45861559
CLDTOT,zfp_p_26,50838200
CLOUD,orig,951697
CLOUD,zfp_p_6,600240
CLOUD,zfp_p_8,607286
CLOUD,zfp_p_10,615302
CLOUD,zfp_p_12,623940
CLOUD,zfp_p_14,632771
CLOUD,zfp_p_16,641609
CLOUD,zfp_p_18,650460
CLOUD,zfp_p_20,659308
CLOUD,zfp_p_22,668158
CLOUD,zfp_p_24,677007
CLOUD,zfp_p_26,685855
CO2,orig,27065808
CO2,zfp_p_6,3699156
CO2,zfp_p_8,4321236
CO2,zfp_p_10,4943337
CO2,zfp_p_12,5571285
CO2,zfp_p_14,6275050
CO2,zfp_p_16,7198124
CO2,zfp_p_18,8584002
CO2,zfp_p_20,10760275
CO2,zfp_p_22,13852298
CO2,zfp_p_24,17752387
CO2,zfp_p_26,22224283
CO2_FFF,orig,27861333
CO2_FFF,zfp_p_6,3699160
CO2_FFF,zfp_p_8,4321240
CO2_FFF,zfp_p_10,4943397
CO2_FFF,zfp_p_12,5574746
CO2_FFF,zfp_p_14,6307072
CO2_FFF,zfp_p_16,7282374
CO2_FFF,zfp_p_18,8783705
CO2_FFF,zfp_p_20,11118430
CO2_FFF,zfp_p_22,14368582
CO2_FFF,zfp_p_24,18391777
CO2_FFF,zfp_p_26,22943032
CO2_LND,orig,18669932
CO2_LND,zfp_p_6,3699160
CO2_LND,zfp_p_8,4321240
CO2_LND,zfp_p_10,4943320
CO2_LND,zfp_p_12,5565400
CO2_LND,zfp_p_14,6188176
CO2_LND,zfp_p_16,6828487
CO2_LND,zfp_p_18,7581472
CO2_LND,zfp_p_20,8619695
CO2_LND,zfp_p_22,10199712
CO2_LND,zfp_p_24,12597527
CO2_LND,zfp_p_26,15894945
CO2_OCN,orig,25670310
CO2_OCN,zfp_p_6,3699160
CO2_OCN,zfp_p_8,4321240
CO2_OCN,zfp_p_10,4943320
CO2_OCN,zfp_p_12,5566765
CO2_OCN,zfp_p_14,6219730
CO2_OCN,zfp_p_16,7065589
CO2_OCN,zfp_p_18,8269154
CO2_OCN,zfp_p_20,10160739
CO2_OCN,zfp_p_22,12968466
CO2_OCN,zfp_p_24,16646934
CO2_OCN,zfp_p_26,20981101
DCQ,orig,2468815
DCQ,zfp_p_6,773490
DCQ,zfp_p_8,897257
DCQ,zfp_p_10,1034764
DCQ,zfp_p_12,1179885
DCQ,zfp_p_14,1327275
DCQ,zfp_p_16,1475047
DCQ,zfp_p_18,1622860
DCQ,zfp_p_20,1770710
DCQ,zfp_p_22,1918578
DCQ,zfp_p_24,2066465
DCQ,zfp_p_26,2214343
dst_a1_SRF,orig,62929369
dst_a1_SRF,zfp_p_6,4846201
dst_a1_SRF,zfp_p_8,8169720
dst_a1_SRF,zfp_p_10,12831166
dst_a1_SRF,zfp_p_12,17774635
dst_a1_SRF,zfp_p_14,22746690
dst_a1_SRF,zfp_p_16,27723081
dst_a1_SRF,zfp_p_18,32699634
dst_a1_SRF,zfp_p_20,37676307
dst_a1_SRF,zfp_p_22,42652933
dst_a1_SRF,zfp_p_24,47629573
dst_a1_SRF,zfp_p_26,52606209
dst_a3_SRF,orig,63048593
dst_a3_SRF,zfp_p_6,4892401
dst_a3_SRF,zfp_p_8,8257860
dst_a3_SRF,zfp_p_10,12909936
dst_a3_SRF,zfp_p_12,17845106
dst_a3_SRF,zfp_p_14,22815542
dst_a3_SRF,zfp_p_16,27792055
dst_a3_SRF,zfp_p_18,32768712
dst_a3_SRF,zfp_p_20,37745326
dst_a3_SRF,zfp_p_22,42721944
dst_a3_SRF,zfp_p_24,47698575
dst_a3_SRF,zfp_p_26,52675223
DTCOND,orig,2033849
DTCOND,zfp_p_6,719300
DTCOND,zfp_p_8,806568
DTCOND,zfp_p_10,908365
DTCOND,zfp_p_12,1016550
DTCOND,zfp_p_14,1125730
DTCOND,zfp_p_16,1234863
DTCOND,zfp_p_18,1343991
DTCOND,zfp_p_20,1453096
DTCOND,zfp_p_22,1562193
DTCOND,zfp_p_24,1671283
DTCOND,zfp_p_26,1780381
DTV,orig,874052
DTV,zfp_p_6,588786
DTV,zfp_p_8,588790
DTV,zfp_p_10,588794
DTV,zfp_p_12,588798
DTV,zfp_p_14,588802
DTV,zfp_p_16,588806
DTV,zfp_p_18,588810
DTV,zfp_p_20,588814
DTV,zfp_p_22,588818
DTV,zfp_p_24,588822
DTV,zfp_p_26,588826
EXTINCT,orig,49385279
EXTINCT,zfp_p_6,3908792
EXTINCT,zfp_p_8,5113630
EXTINCT,zfp_p_10,7088898
EXTINCT,zfp_p_12,10321135
EXTINCT,zfp_p_14,14582838
EXTINCT,zfp_p_16,19200039
EXTINCT,zfp_p_18,23892692
EXTINCT,zfp_p_20,28594201
EXTINCT,zfp_p_22,33296023
EXTINCT,zfp_p_24,37997935
EXTINCT,zfp_p_26,42699880
FICE,orig,931682
FICE,zfp_p_6,599840
FICE,zfp_p_8,606961
FICE,zfp_p_10,615521
FICE,zfp_p_12,624308
FICE,zfp_p_14,633100
FICE,zfp_p_16,641867
FICE,zfp_p_18,650631
FICE,zfp_p_20,659398
FICE,zfp_p_22,668162
FICE,zfp_p_24,676926
FICE,zfp_p_26,685688
FLDS,orig,51959603
FLDS,zfp_p_6,3761797
FLDS,zfp_p_8,4764067
FLDS,zfp_p_10,6770854
FLDS,zfp_p_12,10823608
FLDS,zfp_p_14,15779147
FLDS,zfp_p_16,20755184
FLDS,zfp_p_18,25731973
FLDS,zfp_p_20,30708773
FLDS,zfp_p_22,35685451
FLDS,zfp_p_24,40662166
FLDS,zfp_p_26,45638798
FLNS,orig,59331291
FLNS,zfp_p_6,4163518
FLNS,zfp_p_8,6815233
FLNS,zfp_p_10,11449936
FLNS,zfp_p_12,16398917
FLNS,zfp_p_14,21373264
FLNS,zfp_p_16,26349375
FLNS,zfp_p_18,31325996
FLNS,zfp_p_20,36302659
FLNS,zfp_p_22,41279283
FLNS,zfp_p_24,46255919
FLNS,zfp_p_26,51232549
FLNSC,orig,54640696
FLNSC,zfp_p_6,3874370
FLNSC,zfp_p_8,5653951
FLNSC,zfp_p_10,8670077
FLNSC,zfp_p_12,12669206
FLNSC,zfp_p_14,17459547
FLNSC,zfp_p_16,22440163
FLNSC,zfp_p_18,27417517
FLNSC,zfp_p_20,32394356
FLNSC,zfp_p_22,37371063
FLNSC,zfp_p_24,42347757
FLNSC,zfp_p_26,47324419
FLNT,orig,51360750
FLNT,zfp_p_6,3727251
FLNT,zfp_p_8,4709544
FLNT,zfp_p_10,6716269
FLNT,zfp_p_12,10494203
FLNT,zfp_p_14,15330173
FLNT,zfp_p_16,20298144
FLNT,zfp_p_18,25275226
FLNT,zfp_p_20,30251974
FLNT,zfp_p_22,35228599
FLNT,zfp_p_24,40205245
FLNT,zfp_p_26,45181865
FLNTC,orig,48821315
FLNTC,zfp_p_6,3723098
FLNTC,zfp_p_8,4535887
FLNTC,zfp_p_10,6123878
FLNTC,zfp_p_12,8785336
FLNTC,zfp_p_14,12489005
FLNTC,zfp_p_16,17132347
FLNTC,zfp_p_18,22100846
FLNTC,zfp_p_20,27078961
FLNTC,zfp_p_22,32055931
FLNTC,zfp_p_24,37032677
FLNTC,zfp_p_26,42009340
FLUT,orig,51331953
FLUT,zfp_p_6,3726581
FLUT,zfp_p_8,4705622
FLUT,zfp_p_10,6703941
FLUT,zfp_p_12,10472297
FLUT,zfp_p_14,15308390
FLUT,zfp_p_16,20276292
FLUT,zfp_p_18,25253411
FLUT,zfp_p_20,30230201
FLUT,zfp_p_22,35206825
FLUT,zfp_p_24,40183473
FLUT,zfp_p_26,45160082
FLUTC,orig,48798157
FLUTC,zfp_p_6,3723071
FLUTC,zfp_p_8,4534330
FLUTC,zfp_p_10,6118291
FLUTC,zfp_p_12,8774958
FLUTC,zfp_p_14,12473403
FLUTC,zfp_p_16,17112078
FLUTC,zfp_p_18,22079884
FLUTC,zfp_p_20,27058005
FLUTC,zfp_p_22,32034950
FLUTC,zfp_p_24,37011695
FLUTC,zfp_p_26,41988366
FREQI,orig,874013
FREQI,zfp_p_6,588790
FREQI,zfp_p_8,588790
FREQI,zfp_p_10,588790
FREQI,zfp_p_12,588790
FREQI,zfp_p_14,588790
FREQI,zfp_p_16,588790
FREQI,zfp_p_18,588790
FREQI,zfp_p_20,588790
FREQI,zfp_p_22,588790
FREQI,zfp_p_24,588790
FREQI,zfp_p_26,588790
FREQL,orig,874016
FREQL,zfp_p_6,588793
FREQL,zfp_p_8,588793
FREQL,zfp_p_10,588793
FREQL,zfp_p_12,588793
FREQL,zfp_p_14,588793
FREQL,zfp_p_16,588793
FREQL,zfp_p_18,588793
FREQL,zfp_p_20,588793
FREQL,zfp_p_22,588793
FREQL,zfp_p_24,588793
FREQL,zfp_p_26,588793
FREQR,orig,874014
FREQR,zfp_p_6,588791
FREQR,zfp_p_8,588791
FREQR,zfp_p_10,588791
FREQR,zfp_p_12,588791
FREQR,zfp_p_14,588791
FREQR,zfp_p_16,588791
FREQR,zfp_p_18,588791
FREQR,zfp_p_20,588791
FREQR,zfp_p_22,588791
FREQR,zfp_p_24,588791
FREQR,zfp_p_26,588791
FREQS,orig,874014
FREQS,zfp_p_6,588791
FREQS,zfp_p_8,588791
FREQS,zfp_p_10,588791
FREQS,zfp_p_12,588791
FREQS,zfp_p_14,588791
FREQS,zfp_p_16,588791
FREQS,zfp_p_18,588791
FREQS,zfp_p_20,588791
FREQS,zfp_p_22,588791
FREQS,zfp_p_24,588791
FREQS,zfp_p_26,588791
FSDS,orig,53869038
FSDS,zfp_p_6,3804911
FSDS,zfp_p_8,5614781
FSDS,zfp_p_10,9557695
FSDS,zfp_p_12,14067448
FSDS,zfp_p_14,18716564
FSDS,zfp_p_16,23391410
FSDS,zfp_p_18,28066294
FSDS,zfp_p_20,32741290
FSDS,zfp_p_22,37416365
FSDS,zfp_p_24,42091424
FSDS,zfp_p_26,46766495
FSDSC,orig,45806165
FSDSC,zfp_p_6,3694398
FSDSC,zfp_p_8,4636013
FSDSC,zfp_p_10,6083188
FSDSC,zfp_p_12,8299846
FSDSC,zfp_p_14,11683247
FSDSC,zfp_p_16,16119224
FSDSC,zfp_p_18,20778765
FSDSC,zfp_p_20,25448025
FSDSC,zfp_p_22,30122365
FSDSC,zfp_p_24,34797622
FSDSC,zfp_p_26,39472720
FSNS,orig,55513171
FSNS,zfp_p_6,4004828
FSNS,zfp_p_8,6385607
FSNS,zfp_p_10,10755460
FSNS,zfp_p_12,15401114
FSNS,zfp_p_14,20072119
FSNS,zfp_p_16,24747034
FSNS,zfp_p_18,29422171
FSNS,zfp_p_20,34097220
FSNS,zfp_p_22,38772298
FSNS,zfp_p_24,43447385
FSNS,zfp_p_26,48122464
FSNSC,orig,49555012
FSNSC,zfp_p_6,3897181
FSNSC,zfp_p_8,5566885
FSNSC,zfp_p_10,8190652
FSNSC,zfp_p_12,11237367
FSNSC,zfp_p_14,14924628
FSNSC,zfp_p_16,19438485
FSNSC,zfp_p_18,24120261
FSNSC,zfp_p_20,28795971
FSNSC,zfp_p_22,33471067
FSNSC,zfp_p_24,38146169
FSNSC,zfp_p_26,42821251
FSNT,orig,52956175
FSNT,zfp_p_6,3787051
FSNT,zfp_p_8,5469601
FSNT,zfp_p_10,9159638
FSNT,zfp_p_12,13768774
FSNT,zfp_p_14,18423588
