set,time,ssim_fp
bg_6_TS,20,0.9998917360771431
bg_7_TS,20,1.0
bg_2_TS,21,0.45230408190535215
bg_3_TS,21,0.9175285442603095
bg_4_TS,21,0.993994406852438
bg_5_TS,21,0.9991594772017441
bg_6_TS,21,0.999925789670571
bg_7_TS,21,1.0
bg_2_TS,22,0.4309712489674885
bg_3_TS,22,0.9370150168056348
bg_4_TS,22,0.9931722067118481
bg_5_TS,22,0.9991640728825274
bg_6_TS,22,0.9999317826992465
bg_7_TS,22,1.0
bg_2_TS,23,0.4177280868402145
bg_3_TS,23,0.9170520444932143
bg_4_TS,23,0.9925872294361628
bg_5_TS,23,0.9993695557132222
bg_6_TS,23,0.9998847918352337
bg_7_TS,23,1.0
bg_2_TS,24,0.4207386682384585
bg_3_TS,24,0.9182787698417817
bg_4_TS,24,0.9943611974241645
bg_5_TS,24,0.9992151287394935
bg_6_TS,24,0.9998870993153489
bg_7_TS,24,1.0
bg_2_TS,25,0.41962744497918114
bg_3_TS,25,0.9057245056674293
bg_4_TS,25,0.9927619723036631
bg_5_TS,25,0.9991733154866009
bg_6_TS,25,0.9998569767744356
bg_7_TS,25,1.0
bg_2_TS,26,0.4192446342061888
bg_3_TS,26,0.9091227345893897
bg_4_TS,26,0.9911433979870093
bg_5_TS,26,0.9991215086282131
bg_6_TS,26,0.9999028349062044
bg_7_TS,26,1.0
bg_2_TS,27,0.4234282444541864
bg_3_TS,27,0.9038023465429433
bg_4_TS,27,0.9913414875834082
bg_5_TS,27,0.9990777475314762
bg_6_TS,27,0.9997933604618947
bg_7_TS,27,1.0
bg_2_TS,28,0.418554998530753
bg_3_TS,28,0.8945097325244356
bg_4_TS,28,0.9898403554236825
bg_5_TS,28,0.9986172621018127
bg_6_TS,28,0.9998513368968088
bg_7_TS,28,1.0
bg_2_TS,29,0.4216028056977796
bg_3_TS,29,0.8854261195920953
bg_4_TS,29,0.9880957219375307
bg_5_TS,29,0.998301078017376
bg_6_TS,29,0.9999023751684897
bg_7_TS,29,1.0
bg_2_TS,30,0.43050431138884765
bg_3_TS,30,0.8835575197360932
bg_4_TS,30,0.9867907917522554
bg_5_TS,30,0.9984416031852497
bg_6_TS,30,0.9998399844072393
bg_7_TS,30,1.0
bg_2_TS,31,0.41655836958281134
bg_3_TS,31,0.894581109271057
bg_4_TS,31,0.9893252651717684
bg_5_TS,31,0.9984558757259475
bg_6_TS,31,0.9998265276956377
bg_7_TS,31,1.0
bg_2_TS,32,0.42135744423534516
bg_3_TS,32,0.9056655829033353
bg_4_TS,32,0.9922061373149222
bg_5_TS,32,0.9988714992182298
bg_6_TS,32,0.9998580010329837
bg_7_TS,32,1.0
