set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile,fftmax,fftratio,vfftmax,vfftratio,variable,levels,algs,ratios
orig_LHFLX,0,1.0,25.26749834424083,8.945984621577052,2.473587178707669e-18,1.0,0.0,730.9038716371541,0.3317286387282826,404.4659686142495,23.30798135428469,404.4659686142495,23.30798135428469,LHFLX,22,zfp,1.47
orig_pom_a1_SRF,0,1.0,10.602746924874989,1.234426129450733,-1.485758532665321e-19,1.0,0.0,160.4533268426068,0.3890987262901645,177.4795537911426,18.785938227741592,177.4795537911426,18.785938227741592,pom_a1_SRF,20,zfp,1.59
orig_PRECL,0,1.0,3.8231444868413287,1.5006748816645523,1.3532449338059814e-18,1.0,0.0,143.7362250131371,0.384682250142218,89.1708784368324,10.691141824237686,89.1708784368324,10.691141824237686,PRECL,100000,zfp,1.0
orig_PRECSC,0,1.0000000000000002,1.2114275602429214,0.2207758004280568,-3.031750519357614e-19,1.0,0.0,22.70933494485088,0.7005263527685299,8.870595644676639,3.733278293913833,8.870595644676639,3.733278293913833,PRECSC,100000,zfp,1.0
orig_PRECSL,0,1.0,4.732315028960982,0.946487515301754,6.82645812305688e-19,1.0,0.0,138.73134187050027,0.4629444768501962,58.69542070377654,8.407681564768161,58.69542070377654,8.407681564768161,PRECSL,100000,zfp,1.0
orig_PRECT,0,1.0000000000000002,5.628313407214095,1.835712635243828,-1.2809647889736145e-18,1.0,0.0,241.2794147415269,0.3359532057605958,126.33904380796778,12.131251345041184,126.33904380796778,12.131251345041184,PRECT,100000,zfp,1.0
orig_PRECTMX,0,1.0000000000000002,5.628313407214095,1.835712635243828,-1.2809647889736145e-18,1.0,0.0,241.2794147415269,0.3359532057605958,126.33904380796778,12.131251345041184,126.33904380796778,12.131251345041184,PRECTMX,100000,zfp,1.0
orig_PSL,0,1.0,31021.99864764672,30881.34223581088,2.5769251982726938e-17,1.0,0.0,41411.32775341525,0.0438093932636931,37.15049688048293,5.131994427203162,37.15049688048293,5.131994427203162,PSL,20,zfp,2.16
orig_Q200,0,1.0,56.37569794482082,16.206328329828022,-1.9877039828900917e-18,1.0,0.0,1265.6056684247783,0.2657712573932835,921.9870215269212,35.528898960886124,921.9870215269212,35.528898960886124,Q200,16,zfp,2.42
orig_Q500,0,1.0,43.0524601555604,10.022142683912229,-2.4936649967166602e-18,1.0,0.0,952.0042351125736,0.2243822170335763,770.497955813119,37.20336287284586,770.497955813119,37.20336287284586,Q500,16,zfp,2.33
orig_Q850,0,1.0,129.60927521851806,43.65822234238138,-9.641368207917393e-18,1.0,0.0,2014.0708076542423,0.2838112349854021,1750.5408553012614,48.79334915411366,1750.5408553012614,48.79334915411366,Q850,16,zfp,2.33
orig_QBOT,0,1.0000000000000002,249.158143665925,85.88167854249605,1.9622051540186733e-17,1.0,0.0,2753.0025359811816,0.2706923312542421,2111.5841845861323,64.19607912255469,2111.5841845861323,64.19607912255469,QBOT,16,zfp,2.33
orig_SHFLX,0,1.0,7.436101163199588,1.7466310224586468,8.703734106897523e-19,1.0,0.0,195.1601213945151,0.4293620617398947,84.59321795598154,11.216679941522244,84.59321795598154,11.216679941522244,SHFLX,22,zfp,1.46
orig_so4_a1_SRF,0,1.0,14.887899001804188,3.276246629711394,1.9937273282927888e-18,1.0,0.0,503.24055526760833,0.4755320016889455,227.65573084659036,14.664443368442258,227.65573084659036,14.664443368442258,so4_a1_SRF,18,zfp,1.81
orig_so4_a2_SRF,0,1.0,9.511086540331446,6.235163180423824,-1.4435951148464404e-18,1.0,0.0,437.9939589019444,0.4445347961501392,107.98451908519468,9.35023696287234,107.98451908519468,9.35023696287234,so4_a2_SRF,18,zfp,1.81
orig_so4_a3_SRF,0,1.0000000000000002,13.337586193340355,1.6269604464872325,-2.5298050691328443e-19,1.0,0.0,327.7162665799214,0.3910983654120408,257.8337741645894,17.427602851056115,257.8337741645894,17.427602851056115,so4_a3_SRF,18,zfp,1.82
orig_soa_a1_SRF,0,1.0,9.717410557746732,1.259084458926418,-1.3391904611996878e-18,1.0,0.0,201.7276631512,0.4938189498881578,119.78347168811354,11.740292252486546,119.78347168811354,11.740292252486546,soa_a1_SRF,100000,zfp,1.0
orig_soa_a2_SRF,0,1.0,7.707152098450641,1.004579539078813,-1.3502332611046329e-18,1.0,0.0,212.3835963857954,0.513415176316304,100.5748592431122,12.055311634875771,100.5748592431122,12.055311634875771,soa_a2_SRF,100000,zfp,1.0
orig_T010,0,1.0,21870.989624686103,20676.94372630344,-1.7132794251954858e-16,1.0,0.0,34701.986550475296,0.0019854497225942,50.597943618536185,5.224238065004644,50.597943618536185,5.224238065004644,T010,20,zfp,2.63
orig_T200,0,1.0000000000000002,23379.57565143143,22842.67938475172,-6.689828571505698e-17,1.0,0.0,35941.34254799006,0.0366080814099167,112.87249464504065,7.274582373363994,112.87249464504065,7.274582373363994,T200,18,zfp,2.54
orig_T500,0,1.0000000000000004,25747.091821806207,24073.28893183162,-2.759893098925002e-16,1.0,0.0,37681.19066805474,0.0465276226807341,533.3916916021054,16.42696656378847,533.3916916021054,16.42696656378847,T500,18,zfp,2.57
orig_T850,0,1.0,13785.190000155988,12860.767845384667,1.0052361142561435e-16,1.0,0.0,27567.36403245473,0.1307369302255744,347.1554207597023,13.85102615157345,347.1554207597023,13.85102615157345,T850,18,zfp,2.36
orig_TAUX,0,1.0,16.10689271384546,7.683148602967915,2.569960705150825e-19,1.0,0.0,245.44732990351267,0.3816853123851568,144.00338116581185,17.634916312382703,144.00338116581185,17.634916312382703,TAUX,22,zfp,1.5
orig_TAUY,0,1.0,11.03852632965875,3.272586360402004,1.2448247165574312e-18,1.0,0.0,124.82435355356684,0.4216313355846521,64.1921382545916,10.506224760005429,64.1921382545916,10.506224760005429,TAUY,24,zfp,1.35
orig_TMQ,0,1.0,187.8329383094122,61.0411094225169,7.846411277913613e-18,1.0,0.0,2373.9042698575586,0.1647305264598081,1650.7207099034983,63.63788290348064,1650.7207099034983,63.63788290348064,TMQ,16,zfp,2.43
