set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile,fftmax,fftratio,vfftmax,vfftratio
orig_PRECL,0,1.0,3.8231444868413287,1.5006748816645523,1.3532449338059814e-18,1.0,0.0,143.7362250131371,0.384682250142218,89.1708784368324,10.691141824237686,89.1708784368324,10.691141824237686
orig_PRECSC,0,1.0000000000000002,1.2114275602429214,0.22077580042805683,-3.031750519357614e-19,1.0,0.0,22.70933494485088,0.7005263527685299,8.870595644676639,3.733278293913833,8.870595644676639,3.733278293913833
orig_PRECSL,0,1.0,4.732315028960982,0.9464875153017541,6.82645812305688e-19,1.0,0.0,138.73134187050027,0.46294447685019624,58.69542070377654,8.407681564768161,58.69542070377654,8.407681564768161
orig_PRECT,0,1.0000000000000002,5.628313407214095,1.8357126352438282,-1.2809647889736145e-18,1.0,0.0,241.2794147415269,0.3359532057605958,126.33904380796778,12.131251345041184,126.33904380796778,12.131251345041184
orig_PRECTMX,0,1.0000000000000002,5.628313407214095,1.8357126352438282,-1.2809647889736145e-18,1.0,0.0,241.2794147415269,0.3359532057605958,126.33904380796778,12.131251345041184,126.33904380796778,12.131251345041184
orig_PSL,0,1.0,31021.998647646717,30881.34223581088,2.576925198272694e-17,1.0,0.0,41411.327753415244,0.0438093932636931,37.15049688048293,5.131994427203162,37.15049688048293,5.131994427203162
orig_Q200,0,1.0,56.37569794482082,16.206328329828022,-1.9877039828900913e-18,1.0,0.0,1265.6056684247783,0.26577125739328356,921.9870215269212,35.528898960886124,921.9870215269212,35.528898960886124
orig_Q500,0,1.0,43.052460155560404,10.022142683912227,-2.4936649967166602e-18,1.0,0.0,952.0042351125735,0.2243822170335763,770.497955813119,37.20336287284586,770.497955813119,37.20336287284586
orig_Q850,0,1.0,129.60927521851806,43.65822234238138,-9.641368207917393e-18,1.0,0.0,2014.0708076542426,0.2838112349854021,1750.5408553012614,48.79334915411366,1750.5408553012614,48.79334915411366
orig_QBOT,0,1.0000000000000002,249.158143665925,85.88167854249605,1.9622051540186733e-17,1.0,0.0,2753.0025359811816,0.2706923312542421,2111.5841845861323,64.19607912255469,2111.5841845861323,64.19607912255469
orig_SHFLX,0,1.0,7.436101163199588,1.7466310224586468,8.703734106897523e-19,1.0,0.0,195.1601213945151,0.4293620617398947,84.59321795598154,11.216679941522244,84.59321795598154,11.216679941522244
orig_so4_a1_SRF,0,1.0,14.887899001804188,3.276246629711394,1.9937273282927888e-18,1.0,0.0,503.24055526760833,0.47553200168894555,227.65573084659033,14.664443368442258,227.65573084659033,14.664443368442258
orig_so4_a2_SRF,0,1.0,9.511086540331446,6.2351631804238234,-1.4435951148464402e-18,1.0,0.0,437.9939589019444,0.4445347961501392,107.98451908519469,9.350236962872339,107.98451908519469,9.350236962872339
orig_so4_a3_SRF,0,1.0000000000000002,13.337586193340355,1.6269604464872325,-2.529805069132844e-19,1.0,0.0,327.7162665799214,0.3910983654120408,257.8337741645894,17.427602851056115,257.8337741645894,17.427602851056115
orig_soa_a1_SRF,0,1.0,9.717410557746732,1.259084458926418,-1.3391904611996878e-18,1.0,0.0,201.7276631512,0.4938189498881578,119.78347168811354,11.740292252486546,119.78347168811354,11.740292252486546
orig_soa_a2_SRF,0,0.9999999999999999,7.707152098450641,1.004579539078813,-1.3502332611046329e-18,1.0,0.0,212.3835963857954,0.513415176316304,100.5748592431122,12.055311634875771,100.5748592431122,12.055311634875771
orig_T010,0,1.0,21870.989624686106,20676.943726303438,-1.7132794251954858e-16,1.0,0.0,34701.986550475296,0.001985449722594292,50.597943618536185,5.224238065004644,50.597943618536185,5.224238065004644
orig_T200,0,1.0000000000000002,23379.57565143143,22842.67938475172,-6.689828571505698e-17,1.0,0.0,35941.34254799006,0.03660808140991679,112.87249464504063,7.2745823733639945,112.87249464504063,7.2745823733639945
orig_T500,0,1.0000000000000004,25747.091821806207,24073.28893183162,-2.759893098925002e-16,1.0,0.0,37681.19066805474,0.04652762268073414,533.3916916021054,16.42696656378847,533.3916916021054,16.42696656378847
orig_T850,0,1.0,13785.190000155988,12860.767845384667,1.0052361142561435e-16,1.0,0.0,27567.364032454734,0.13073693022557442,347.1554207597023,13.85102615157345,347.1554207597023,13.85102615157345
orig_TAUX,0,1.0,16.10689271384546,7.683148602967915,2.569960705150825e-19,1.0,0.0,245.44732990351267,0.3816853123851568,144.00338116581185,17.634916312382703,144.00338116581185,17.634916312382703
orig_TAUY,0,1.0,11.03852632965875,3.2725863604020033,1.244824716557431e-18,1.0,0.0,124.82435355356684,0.42163133558465216,64.1921382545916,10.506224760005429,64.1921382545916,10.506224760005429
orig_TMQ,0,1.0,187.8329383094122,61.041109422516904,7.846411277913613e-18,1.0,0.0,2373.9042698575586,0.16473052645980815,1650.7207099034983,63.637882903480644,1650.7207099034983,63.637882903480644
orig_TREFHT,0,0.9999999999999998,9889.060680194314,8954.184049935811,-1.8855279670423372e-16,1.0,0.0,23315.159592314096,0.1589375016447705,1564.9655926634687,53.90402069266347,1564.9655926634687,53.90402069266347
orig_TREFHTMN,0,1.0000000000000002,8089.746069187742,7302.424851117396,-2.7101038748535813e-17,1.0,0.0,21082.911405495175,0.202535352805652,1089.2943241464238,44.011026248766406,1089.2943241464238,44.011026248766406
orig_TREFHTMX,0,0.9999999999999998,9949.505631061757,9034.757525037818,-1.381770493742255e-16,1.0,0.0,23390.934713788047,0.175466587180775,1243.4974556597685,50.19478294818851,1243.4974556597685,50.19478294818851
orig_TS,0,1.0000000000000002,7621.741868888534,6873.497127397623,5.636646627844084e-17,1.0,0.0,20463.211039903843,0.21313035622281165,1080.6058068780155,41.78284629232248,1080.6058068780155,41.78284629232248
orig_U010,0,1.0,527.6500342422021,205.02035671272327,-6.998374439758864e-18,1.0,0.0,2105.8672406621213,0.007616935128012613,119.19483008782063,9.058509254630996,119.19483008782063,9.058509254630996
orig_U200,0,0.9999999999999999,212.94166256960503,167.86127802552883,1.6724822401489355e-18,1.0,0.0,2055.2974225288817,0.04372321742899681,524.9078222196835,27.757727288288695,524.9078222196835,27.757727288288695
orig_U500,0,1.0000000000000002,121.03207261013252,108.29343872373707,7.304310191670861e-18,1.0,0.0,1129.8729739281498,0.0855917881866812,211.33209038541386,13.679614363033673,211.33209038541386,13.679614363033673
orig_U850,0,1.0000000000000002,42.90827832707979,25.767740667710495,6.8385048138622745e-18,1.0,0.0,557.1900703348356,0.2223184671048684,171.05147568628652,14.071899715177913,171.05147568628652,14.071899715177913
orig_VBOT,0,1.0,21.37728232822065,7.015740301686747,9.677508280333576e-19,1.0,0.0,188.60599754904342,0.1487429451896925,34.34041512661154,5.829645580692261,34.34041512661154,5.829645580692261
orig_WSPDSRFAV,0,1.0000000000000002,71.65591336939701,54.99340254158196,-3.830847676115449e-18,1.0,0.0,1761.2650093419804,0.22410991934310148,74.37012987172493,11.981622801070996,74.37012987172493,11.981622801070996
orig_Z050,0,0.9999999999999996,41940.6122242251,41090.98506131878,-2.2377812059476854e-16,1.0,0.0,48146.40208678679,0.004188988088856123,176.78404541375392,9.103776325754739,176.78404541375392,9.103776325754739
orig_Z500,0,0.9999999999999999,24637.156797344673,23011.812356917464,-4.272282347451998e-16,1.0,0.0,36852.54996909299,0.0401963943290414,232.89877377735522,9.511163534929329,232.89877377735522,9.511163534929329
