variable,level,size
CCN3,sz2_1_12ROn0.1,5285889
CCN3,sz2_1_12ROn0.05,9665097
CCN3,sz2_1_12ROn0.01,29781674
CCN3,sz2_1_12ROn0.005,40871148
CCN3,sz2_1_12ROn0.001,76459297
CCN3,sz2_1_12ROn0.0005,96637631
CCN3,sz2_1_12ROn0.0001,144953185
CCN3,sz2_1_12ROn5e-05,160261469
CCN3,sz2_1_12ROn1e-05,192504933
CCN3,sz2_1_12ROn5e-06,205054884
CCN3,sz2_1_12ROn1e-06,227744611
CLOUD,orig,219526652
CLOUD,sz2_1_12ROn0.1,83909617
CLOUD,sz2_1_12ROn0.05,101043134
CLOUD,sz2_1_12ROn0.01,138766869
CLOUD,sz2_1_12ROn0.005,164867640
CLOUD,sz2_1_12ROn0.001,200080928
CLOUD,sz2_1_12ROn0.0005,202927093
CLOUD,sz2_1_12ROn0.0001,206671103
CLOUD,sz2_1_12ROn5e-05,208344788
CLOUD,sz2_1_12ROn1e-05,211687792
CLOUD,sz2_1_12ROn5e-06,213530355
CLOUD,sz2_1_12ROn1e-06,218196276
FLNS,orig,9935522
FLNS,sz2_1_12ROn0.1,2731772
FLNS,sz2_1_12ROn0.05,3822079
FLNS,sz2_1_12ROn0.01,6314944
FLNS,sz2_1_12ROn0.005,8211784
FLNS,sz2_1_12ROn0.001,9689692
FLNS,sz2_1_12ROn0.0005,9855997
FLNS,sz2_1_12ROn0.0001,9919720
FLNS,sz2_1_12ROn5e-05,9925817
FLNS,sz2_1_12ROn1e-05,9932937
FLNS,sz2_1_12ROn5e-06,9929224
FLNS,sz2_1_12ROn1e-06,9929224
FLNT,orig,8615109
FLNT,sz2_1_12ROn0.1,2043305
FLNT,sz2_1_12ROn0.05,3029449
FLNT,sz2_1_12ROn0.01,5000950
FLNT,sz2_1_12ROn0.005,6187222
FLNT,sz2_1_12ROn0.001,8068224
FLNT,sz2_1_12ROn0.0005,8362079
FLNT,sz2_1_12ROn0.0001,8592577
FLNT,sz2_1_12ROn5e-05,8605761
FLNT,sz2_1_12ROn1e-05,8614571
FLNT,sz2_1_12ROn5e-06,8636999
FLNT,sz2_1_12ROn1e-06,8608811
FSNS,orig,9305218
FSNS,sz2_1_12ROn0.1,2369389
FSNS,sz2_1_12ROn0.05,3246543
FSNS,sz2_1_12ROn0.01,5828531
FSNS,sz2_1_12ROn0.005,7503906
FSNS,sz2_1_12ROn0.001,8629298
FSNS,sz2_1_12ROn0.0005,8857271
FSNS,sz2_1_12ROn0.0001,9123935
FSNS,sz2_1_12ROn5e-05,9179297
