variable,level,size
FSNS,sz2_1_12ROn1e-05,9278780
FSNS,sz2_1_12ROn5e-06,9298920
FSNS,sz2_1_12ROn1e-06,9298920
FSNT,orig,8880854
FSNT,sz2_1_12ROn0.1,1913027
FSNT,sz2_1_12ROn0.05,2794757
FSNT,sz2_1_12ROn0.01,5097784
FSNT,sz2_1_12ROn0.005,6678820
FSNT,sz2_1_12ROn0.001,8244144
FSNT,sz2_1_12ROn0.0005,8492485
FSNT,sz2_1_12ROn0.0001,8747863
FSNT,sz2_1_12ROn5e-05,8798542
FSNT,sz2_1_12ROn1e-05,8867438
FSNT,sz2_1_12ROn5e-06,8915490
FSNT,sz2_1_12ROn1e-06,8874556
LHFLX,orig,10456229
LHFLX,sz2_1_12ROn0.1,2273973
LHFLX,sz2_1_12ROn0.05,3259812
LHFLX,sz2_1_12ROn0.01,5839789
LHFLX,sz2_1_12ROn0.005,7418086
LHFLX,sz2_1_12ROn0.001,9054212
LHFLX,sz2_1_12ROn0.0005,9483024
LHFLX,sz2_1_12ROn0.0001,10007182
LHFLX,sz2_1_12ROn5e-05,10127767
LHFLX,sz2_1_12ROn1e-05,10358303
LHFLX,sz2_1_12ROn5e-06,10447490
LHFLX,sz2_1_12ROn1e-06,10449940
PRECC,orig,8341117
PRECC,sz2_1_12ROn0.1,1335767
PRECC,sz2_1_12ROn0.05,2042140
PRECC,sz2_1_12ROn0.01,4138937
PRECC,sz2_1_12ROn0.005,5277162
PRECC,sz2_1_12ROn0.001,7082037
PRECC,sz2_1_12ROn0.0005,7602282
PRECC,sz2_1_12ROn0.0001,8341505
PRECC,sz2_1_12ROn5e-05,8507717
PRECC,sz2_1_12ROn1e-05,8692083
PRECC,sz2_1_12ROn5e-06,8750678
PRECC,sz2_1_12ROn1e-06,8334828
PRECL,orig,10652395
PRECL,sz2_1_12ROn0.1,948650
PRECL,sz2_1_12ROn0.05,1757648
PRECL,sz2_1_12ROn0.01,4410034
PRECL,sz2_1_12ROn0.005,5953999
PRECL,sz2_1_12ROn0.001,8757818
PRECL,sz2_1_12ROn0.0005,9454556
PRECL,sz2_1_12ROn0.0001,10329059
PRECL,sz2_1_12ROn5e-05,10515803
PRECL,sz2_1_12ROn1e-05,10632935
PRECL,sz2_1_12ROn5e-06,10637335
PRECL,sz2_1_12ROn1e-06,10645899
PS,orig,7570501
PS,sz2_1_12ROn0.1,2005884
PS,sz2_1_12ROn0.05,2999425
PS,sz2_1_12ROn0.01,4381041
PS,sz2_1_12ROn0.005,5217137
PS,sz2_1_12ROn0.001,6339370
PS,sz2_1_12ROn0.0005,6630011
PS,sz2_1_12ROn0.0001,7264155
PS,sz2_1_12ROn5e-05,7461881
PS,sz2_1_12ROn1e-05,7585821
PS,sz2_1_12ROn5e-06,7585863
PS,sz2_1_12ROn1e-06,7564212
QFLX,orig,10426965
QFLX,sz2_1_12ROn0.1,2133459
QFLX,sz2_1_12ROn0.05,3138015
QFLX,sz2_1_12ROn0.01,5803017
QFLX,sz2_1_12ROn0.005,7392880
QFLX,sz2_1_12ROn0.001,8995566
QFLX,sz2_1_12ROn0.0005,9403717
QFLX,sz2_1_12ROn0.0001,9954886
QFLX,sz2_1_12ROn5e-05,10082630
QFLX,sz2_1_12ROn1e-05,10319208
QFLX,sz2_1_12ROn5e-06,10415309
QFLX,sz2_1_12ROn1e-06,10420676
SHFLX,orig,10615810
SHFLX,sz2_1_12ROn0.1,1777197
SHFLX,sz2_1_12ROn0.05,2860630
SHFLX,sz2_1_12ROn0.01,5980132
SHFLX,sz2_1_12ROn0.005,7663634
SHFLX,sz2_1_12ROn0.001,9553934
SHFLX,sz2_1_12ROn0.0005,10045626
SHFLX,sz2_1_12ROn0.0001,10576233
SHFLX,sz2_1_12ROn5e-05,10605540
SHFLX,sz2_1_12ROn1e-05,10611201
SHFLX,sz2_1_12ROn5e-06,10609885
SHFLX,sz2_1_12ROn1e-06,10609521
TMQ,orig,9418237
TMQ,sz2_1_12ROn0.1,1870796
TMQ,sz2_1_12ROn0.05,2714706
TMQ,sz2_1_12ROn0.01,4618954
TMQ,sz2_1_12ROn0.005,5804994
TMQ,sz2_1_12ROn0.001,8090312
TMQ,sz2_1_12ROn0.0005,8564285
TMQ,sz2_1_12ROn0.0001,9121193
TMQ,sz2_1_12ROn5e-05,9259531
TMQ,sz2_1_12ROn1e-05,9394292
TMQ,sz2_1_12ROn5e-06,9409002
TMQ,sz2_1_12ROn1e-06,9411948
TS,orig,7697245
TS,sz2_1_12ROn0.1,1949025
TS,sz2_1_12ROn0.05,2684726
TS,sz2_1_12ROn0.01,4530272
TS,sz2_1_12ROn0.005,5318959
TS,sz2_1_12ROn0.001,6806211
TS,sz2_1_12ROn0.0005,7159524
TS,sz2_1_12ROn0.0001,7629224
TS,sz2_1_12ROn5e-05,7695295
TS,sz2_1_12ROn1e-05,7733094
TS,sz2_1_12ROn5e-06,7807598
TS,sz2_1_12ROn1e-06,7690956
U,orig,287271956
U,sz2_1_12ROn0.1,66108328
U,sz2_1_12ROn0.05,95066653
U,sz2_1_12ROn0.01,151510073
U,sz2_1_12ROn0.005,172339027
U,sz2_1_12ROn0.001,226068418
U,sz2_1_12ROn0.0005,252802597
U,sz2_1_12ROn0.0001,281961380
U,sz2_1_12ROn5e-05,284568597
U,sz2_1_12ROn1e-05,285725666
U,sz2_1_12ROn5e-06,285787789
U,sz2_1_12ROn1e-06,285755577
CCN3,orig,272506698
CCN3,sz1.4_1,5285889
CCN3,sz1.4_05,9665097
CCN3,sz1.4_01,29781674
CCN3,sz1.4_005,40871148
CCN3,sz1.4_001,76459297
CCN3,sz1.4_0005,96637631
CCN3,sz1.4_0001,144953185
CCN3,sz1.4_00005,160261469
CCN3,sz1.4_00001,192504933
CCN3,sz1.4_000005,205054884
CCN3,sz1.4_000001,227744611
CLOUD,orig,219526652
CLOUD,sz1.4_1,83909617
CLOUD,sz1.4_05,101043134
CLOUD,sz1.4_01,138766869
CLOUD,sz1.4_005,164867640
CLOUD,sz1.4_001,200080928
CLOUD,sz1.4_0005,202927093
CLOUD,sz1.4_0001,206671103
CLOUD,sz1.4_00005,208344788
CLOUD,sz1.4_00001,211687792
CLOUD,sz1.4_000005,213530355
CLOUD,sz1.4_000001,218196276
FLNS,orig,9935522
FLNS,sz1.4_1,2731772
FLNS,sz1.4_05,3822079
FLNS,sz1.4_01,6314944
FLNS,sz1.4_005,8211784
FLNS,sz1.4_001,9689692
FLNS,sz1.4_0005,9855997
FLNS,sz1.4_0001,9919720
FLNS,sz1.4_00005,9925817
FLNS,sz1.4_00001,9932937
FLNS,sz1.4_000005,9929224
FLNS,sz1.4_000001,9929224
FLNT,orig,8615109
FLNT,sz1.4_1,2043305
FLNT,sz1.4_05,3029449
FLNT,sz1.4_01,5000950
FLNT,sz1.4_005,6187222
FLNT,sz1.4_001,8068224
FLNT,sz1.4_0005,8362079
FLNT,sz1.4_0001,8592577
FLNT,sz1.4_00005,8605761
FLNT,sz1.4_00001,8614571
FLNT,sz1.4_000005,8636999
FLNT,sz1.4_000001,8608811
FSNS,orig,9305218
FSNS,sz1.4_1,2369389
FSNS,sz1.4_05,3246543
FSNS,sz1.4_01,5828531
FSNS,sz1.4_005,7503906
FSNS,sz1.4_001,8629298
FSNS,sz1.4_0005,8857271
FSNS,sz1.4_0001,9123935
FSNS,sz1.4_00005,9179297
FSNS,sz1.4_00001,9278780
FSNS,sz1.4_000005,9298920
FSNS,sz1.4_000001,9298920
FSNT,orig,8880854
FSNT,sz1.4_1,1913027
FSNT,sz1.4_05,2794757
FSNT,sz1.4_01,5097784
FSNT,sz1.4_005,6678820
FSNT,sz1.4_001,8244144
FSNT,sz1.4_0005,8492485
FSNT,sz1.4_0001,8747863
FSNT,sz1.4_00005,8798542
FSNT,sz1.4_00001,8867438
FSNT,sz1.4_000005,8915490
FSNT,sz1.4_000001,8874556
LHFLX,orig,10456229
LHFLX,sz1.4_1,2273973
LHFLX,sz1.4_05,3259812
LHFLX,sz1.4_01,5839789
LHFLX,sz1.4_005,7418086
LHFLX,sz1.4_001,9054212
LHFLX,sz1.4_0005,9483024
LHFLX,sz1.4_0001,10007182
LHFLX,sz1.4_00005,10127767
LHFLX,sz1.4_00001,10358303
LHFLX,sz1.4_000005,10447490
LHFLX,sz1.4_000001,10449940
PRECC,orig,8341117
PRECC,sz1.4_1,1335767
PRECC,sz1.4_05,2042140
PRECC,sz1.4_01,4138937
PRECC,sz1.4_005,5277162
PRECC,sz1.4_001,7082037
PRECC,sz1.4_0005,7602282
PRECC,sz1.4_0001,8341505
PRECC,sz1.4_00005,8507717
PRECC,sz1.4_00001,8692083
PRECC,sz1.4_000005,8750678
PRECC,sz1.4_000001,8334828
PRECL,orig,10652395
PRECL,sz1.4_1,948650
PRECL,sz1.4_05,1757648
PRECL,sz1.4_01,4410034
PRECL,sz1.4_005,5953999
PRECL,sz1.4_001,8757818
PRECL,sz1.4_0005,9454556
PRECL,sz1.4_0001,10329059
PRECL,sz1.4_00005,10515803
PRECL,sz1.4_00001,10632935
PRECL,sz1.4_000005,10637335
PRECL,sz1.4_000001,10645899
PS,orig,7570501
PS,sz1.4_1,2005884
PS,sz1.4_05,2999425
PS,sz1.4_01,4381041
PS,sz1.4_005,5217137
PS,sz1.4_001,6339370
PS,sz1.4_0005,6630011
PS,sz1.4_0001,7264155
PS,sz1.4_00005,7461881
PS,sz1.4_00001,7585821
PS,sz1.4_000005,7585863
PS,sz1.4_000001,7564212
QFLX,orig,10426965
QFLX,sz1.4_1,2133459
QFLX,sz1.4_05,3138015
QFLX,sz1.4_01,5803017
QFLX,sz1.4_005,7392880
QFLX,sz1.4_001,8995566
QFLX,sz1.4_0005,9403717
QFLX,sz1.4_0001,9954886
QFLX,sz1.4_00005,10082630
QFLX,sz1.4_00001,10319208
QFLX,sz1.4_000005,10415309
QFLX,sz1.4_000001,10420676
SHFLX,orig,10615810
SHFLX,sz1.4_1,1777197
SHFLX,sz1.4_05,2860630
SHFLX,sz1.4_01,5980132
SHFLX,sz1.4_005,7663634
SHFLX,sz1.4_001,9553934
SHFLX,sz1.4_0005,10045626
SHFLX,sz1.4_0001,10576233
SHFLX,sz1.4_00005,10605540
SHFLX,sz1.4_00001,10611201
SHFLX,sz1.4_000005,10609885
SHFLX,sz1.4_000001,10609521
TMQ,orig,9418237
TMQ,sz1.4_1,1870796
TMQ,sz1.4_05,2714706
TMQ,sz1.4_01,4618954
TMQ,sz1.4_005,5804994
TMQ,sz1.4_001,8090312
TMQ,sz1.4_0005,8564285
TMQ,sz1.4_0001,9121193
TMQ,sz1.4_00005,9259531
TMQ,sz1.4_00001,9394292
TMQ,sz1.4_000005,9409002
TMQ,sz1.4_000001,9411948
TS,orig,7697245
TS,sz1.4_1,1949025
TS,sz1.4_05,2684726
TS,sz1.4_01,4530272
TS,sz1.4_005,5318959
TS,sz1.4_001,6806211
TS,sz1.4_0005,7159524
TS,sz1.4_0001,7629224
TS,sz1.4_00005,7695295
TS,sz1.4_00001,7733094
TS,sz1.4_000005,7807598
TS,sz1.4_000001,7690956
U,orig,287271956
U,sz1.4_1,66108328
U,sz1.4_05,95066653
U,sz1.4_01,151510073
U,sz1.4_005,172339027
U,sz1.4_001,226068418
U,sz1.4_0005,252802597
U,sz1.4_0001,281961380
U,sz1.4_00005,284568597
U,sz1.4_00001,285725666
U,sz1.4_000005,285787789
U,sz1.4_000001,285755577
CCN3,orig,272506698
CCN3,sz1ROn_0.1,9110385
CCN3,sz1ROn_0.5,15472806
CCN3,sz1ROn_0.01,34290160
CCN3,sz1ROn_0.005,45481822
CCN3,sz1ROn_0.001,85749046
CCN3,sz1ROn_0.0005,107120125
CCN3,sz1ROn_0.0001,147075694
CCN3,sz1ROn_5e-05,161781557
CCN3,sz1ROn_1e-05,193033156
CCN3,sz1ROn_5e-06,205608659
CCN3,sz1ROn_1e-06,228364146
CLOUD,orig,219526652
CLOUD,sz1ROn_0.1,88987900
CLOUD,sz1ROn_0.5,103970919
CLOUD,sz1ROn_0.01,140787611
CLOUD,sz1ROn_0.005,167216148
CLOUD,sz1ROn_0.001,203012217
CLOUD,sz1ROn_0.0005,205727850
CLOUD,sz1ROn_0.0001,210332559
CLOUD,sz1ROn_5e-05,212680958
CLOUD,sz1ROn_1e-05,217241179
CLOUD,sz1ROn_5e-06,219016774
CLOUD,sz1ROn_1e-06,223783725
FLNS,orig,9935522
FLNS,sz1ROn_0.1,3008122
FLNS,sz1ROn_0.5,3909854
FLNS,sz1ROn_0.01,6331267
FLNS,sz1ROn_0.005,8220929
FLNS,sz1ROn_0.001,9686442
FLNS,sz1ROn_0.0005,9853558
FLNS,sz1ROn_0.0001,9918996
