variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio
T200,daily,16,6,66078422.0,1.3865520729293446,22,56048977.0,1.6346627165023904
T200,daily,17,6,66078422.0,1.3865520729293446,20,45995444.0,1.9919619212720285
T200,daily,18,6,66078422.0,1.3865520729293446,22,56048977.0,1.6346627165023904
T200,daily,19,6,66078422.0,1.3865520729293446,20,45995444.0,1.9919619212720285
T200,daily,20,6,66078422.0,1.3865520729293446,22,56048977.0,1.6346627165023904
T200,daily,21,6,66078422.0,1.3865520729293446,22,56048977.0,1.6346627165023904
T200,daily,22,6,66078422.0,1.3865520729293446,22,56048977.0,1.6346627165023904
T200,daily,23,6,66078422.0,1.3865520729293446,20,45995444.0,1.9919619212720285
T500,daily,0,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,1,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,2,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,3,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,4,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,5,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,6,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,7,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,8,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,9,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,10,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,11,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,12,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,13,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,14,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,15,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,16,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,17,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,18,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,19,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,20,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,21,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,22,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T500,daily,23,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744
T850,daily,0,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,1,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,2,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,3,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,4,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,5,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,6,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,7,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,8,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,9,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,10,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,11,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,12,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,13,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,14,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,15,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,16,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,17,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,18,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,19,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,20,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,21,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,22,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
T850,daily,23,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227
TAUX,daily,0,4,81805017.0,1.6108152144262742,16,57282112.0,2.3004173798619716
TAUX,daily,1,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,2,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,3,4,81805017.0,1.6108152144262742,16,57282112.0,2.3004173798619716
TAUX,daily,4,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,5,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,6,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,7,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,8,3,67420587.0,1.9544885600002266,14,47187862.0,2.792514015574598
TAUX,daily,9,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,10,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,11,4,81805017.0,1.6108152144262742,16,57282112.0,2.3004173798619716
TAUX,daily,12,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,13,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,14,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
