variable,frequency,timestep,zfp_level,zfp_size,zfp_ratio,all_zfp_levs
FLUT,monthly,21,10,,,[10.0]
LHFLX,monthly,53,8,,,[8.0]
Z500,monthly,41,16,,,[16.0]
LHFLX,monthly,54,8,,,[8.0]
PRECT,monthly,43,8,,,[8.0]
Z500,monthly,42,16,,,[16.0]
TAUX,monthly,95,8,,,[8.0]
FLUT,monthly,22,10,,,[10.0]
LHFLX,monthly,55,8,,,[8.0]
Z500,monthly,43,16,,,[16.0]
PRECT,monthly,44,8,,,[8.0]
LHFLX,monthly,56,8,,,[8.0]
TAUX,monthly,96,8,,,[8.0]
FLUT,monthly,23,10,,,[10.0]
Z500,monthly,44,16,,,[16.0]
FLUT,monthly,24,10,,,[10.0]
TAUX,monthly,97,8,,,[8.0]
PRECT,monthly,45,8,,,[8.0]
LHFLX,monthly,57,8,,,[8.0]
Z500,monthly,45,16,,,[16.0]
LHFLX,monthly,58,8,,,[8.0]
PRECT,monthly,46,8,,,[8.0]
FLUT,monthly,25,10,,,[10.0]
TAUX,monthly,98,8,,,[8.0]
LHFLX,monthly,59,8,,,[8.0]
Z500,monthly,46,16,,,[16.0]
PRECT,monthly,47,8,,,[8.0]
TAUX,monthly,99,8,,,[8.0]
FLUT,monthly,26,10,,,[10.0]
Z500,monthly,47,16,,,[16.0]
LHFLX,monthly,60,8,,,[8.0]
PRECT,monthly,48,8,,,[8.0]
FLUT,monthly,27,10,,,[10.0]
LHFLX,monthly,61,8,,,[8.0]
TAUX,monthly,100,8,,,[8.0]
LHFLX,monthly,62,8,,,[8.0]
Z500,monthly,48,16,,,[16.0]
TAUX,monthly,101,8,,,[8.0]
LHFLX,monthly,63,8,,,[8.0]
Z500,monthly,49,16,,,[16.0]
PRECT,monthly,49,8,,,[8.0]
FLUT,monthly,28,10,,,[10.0]
TAUX,monthly,102,8,,,[8.0]
PRECT,monthly,50,8,,,[8.0]
Z500,monthly,50,16,,,[16.0]
PRECT,monthly,51,8,,,[8.0]
FLUT,monthly,29,10,,,[10.0]
Z500,monthly,51,16,,,[16.0]
LHFLX,monthly,64,8,,,[8.0]
PRECT,monthly,52,8,,,[8.0]
TAUX,monthly,103,8,,,[8.0]
FLUT,monthly,30,10,,,[10.0]
LHFLX,monthly,65,8,,,[8.0]
Z500,monthly,52,16,,,[16.0]
TAUX,monthly,104,8,,,[8.0]
PRECT,monthly,53,8,,,[8.0]
Z500,monthly,53,16,,,[16.0]
PRECT,monthly,54,8,,,[8.0]
LHFLX,monthly,66,8,,,[8.0]
TAUX,monthly,105,8,,,[8.0]
FLUT,monthly,31,10,,,[10.0]
Z500,monthly,54,16,,,[16.0]
PRECT,monthly,55,8,,,[8.0]
TAUX,monthly,106,8,,,[8.0]
FLUT,monthly,32,10,,,[10.0]
TAUX,monthly,107,8,,,[8.0]
LHFLX,monthly,67,8,,,[8.0]
Z500,monthly,55,16,,,[16.0]
PRECT,monthly,56,8,,,[8.0]
TAUX,monthly,108,8,,,[8.0]
FLUT,monthly,33,10,,,[10.0]
LHFLX,monthly,68,8,,,[8.0]
TAUX,monthly,109,8,,,[8.0]
FLUT,monthly,34,10,,,[10.0]
PRECT,monthly,57,8,,,[8.0]
Z500,monthly,56,16,,,[16.0]
LHFLX,monthly,69,8,,,[8.0]
PRECT,monthly,58,8,,,[8.0]
TAUX,monthly,110,8,,,[8.0]
FLUT,monthly,35,10,,,[10.0]
Z500,monthly,57,16,,,[16.0]
PRECT,monthly,59,10,,,[10.0]
TAUX,monthly,111,8,,,[8.0]
LHFLX,monthly,70,8,,,[8.0]
FLUT,monthly,36,10,,,[10.0]
Z500,monthly,58,16,,,[16.0]
TAUX,monthly,112,8,,,[8.0]
PRECT,monthly,60,8,,,[8.0]
FLUT,monthly,37,10,,,[10.0]
LHFLX,monthly,71,8,,,[8.0]
Z500,monthly,59,16,,,[16.0]
PRECT,monthly,61,8,,,[8.0]
TAUX,monthly,113,8,,,[8.0]
FLUT,monthly,38,10,,,[10.0]
LHFLX,monthly,72,8,,,[8.0]
Z500,monthly,60,16,,,[16.0]
PRECT,monthly,62,8,,,[8.0]
TAUX,monthly,114,8,,,[8.0]
FLUT,monthly,39,10,,,[10.0]
TAUX,monthly,115,8,,,[8.0]
LHFLX,monthly,73,8,,,[8.0]
FLUT,monthly,40,10,,,[10.0]
PRECT,monthly,63,8,,,[8.0]
Z500,monthly,61,16,,,[16.0]
TS,monthly,0,14,,,[14.0]
TAUX,monthly,116,8,,,[8.0]
LHFLX,monthly,74,8,,,[8.0]
Z500,monthly,62,16,,,[16.0]
PRECT,monthly,64,8,,,[8.0]
FLUT,monthly,41,10,,,[10.0]
TS,monthly,1,14,,,[14.0]
Z500,monthly,63,16,,,[16.0]
LHFLX,monthly,75,8,,,[8.0]
TAUX,monthly,117,8,,,[8.0]
PRECT,monthly,65,8,,,[8.0]
FLUT,monthly,42,10,,,[10.0]
TS,monthly,2,14,,,[14.0]
Z500,monthly,64,16,,,[16.0]
PRECT,monthly,66,8,,,[8.0]
TAUX,monthly,118,8,,,[8.0]
LHFLX,monthly,76,8,,,[8.0]
TS,monthly,3,14,,,[14.0]
Z500,monthly,65,16,,,[16.0]
PRECT,monthly,67,10,,,[10.0]
FLUT,monthly,43,10,,,[10.0]
TAUX,monthly,119,8,,,[8.0]
LHFLX,monthly,77,8,,,[8.0]
TS,monthly,4,14,,,[14.0]
PRECT,monthly,68,10,,,[10.0]
Z500,monthly,66,16,,,[16.0]
TAUX,monthly,120,8,,,[8.0]
LHFLX,monthly,78,8,,,[8.0]
TS,monthly,5,14,,,[14.0]
FLUT,monthly,44,10,,,[10.0]
PRECT,monthly,69,8,,,[8.0]
Z500,monthly,67,16,,,[16.0]
TAUX,monthly,121,8,,,[8.0]
PRECT,monthly,70,8,,,[8.0]
LHFLX,monthly,79,8,,,[8.0]
TS,monthly,6,14,,,[14.0]
FLUT,monthly,45,10,,,[10.0]
Z500,monthly,68,16,,,[16.0]
LHFLX,monthly,80,8,,,[8.0]
TAUX,monthly,122,8,,,[8.0]
PRECT,monthly,71,8,,,[8.0]
TS,monthly,7,14,,,[14.0]
LHFLX,monthly,81,8,,,[8.0]
FLUT,monthly,46,10,,,[10.0]
LHFLX,monthly,82,8,,,[8.0]
Z500,monthly,69,16,,,[16.0]
TAUX,monthly,123,8,,,[8.0]
PRECT,monthly,72,8,,,[8.0]
TS,monthly,8,14,,,[14.0]
FLUT,monthly,47,10,,,[10.0]
TS,monthly,9,14,,,[14.0]
PRECT,monthly,73,8,,,[8.0]
FLUT,monthly,48,10,,,[10.0]
LHFLX,monthly,83,8,,,[8.0]
Z500,monthly,70,16,,,[16.0]
TS,monthly,10,14,,,[14.0]
TAUX,monthly,124,8,,,[8.0]
FLUT,monthly,49,10,,,[10.0]
LHFLX,monthly,84,8,,,[8.0]
PRECT,monthly,74,8,,,[8.0]
FLUT,monthly,50,10,,,[10.0]
Z500,monthly,71,16,,,[16.0]
TS,monthly,11,14,,,[14.0]
TAUX,monthly,125,8,,,[8.0]
LHFLX,monthly,85,8,,,[8.0]
PRECT,monthly,75,8,,,[8.0]
FLUT,monthly,51,10,,,[10.0]
Z500,monthly,72,16,,,[16.0]
TAUX,monthly,126,8,,,[8.0]
TS,monthly,12,14,,,[14.0]
LHFLX,monthly,86,8,,,[8.0]
PRECT,monthly,76,8,,,[8.0]
FLUT,monthly,52,10,,,[10.0]
LHFLX,monthly,87,8,,,[8.0]
TAUX,monthly,127,8,,,[8.0]
TS,monthly,13,14,,,[14.0]
Z500,monthly,73,16,,,[16.0]
PRECT,monthly,77,8,,,[8.0]
FLUT,monthly,53,10,,,[10.0]
TS,monthly,14,14,,,[14.0]
TAUX,monthly,128,8,,,[8.0]
Z500,monthly,74,16,,,[16.0]
LHFLX,monthly,88,8,,,[8.0]
PRECT,monthly,78,8,,,[8.0]
TAUX,monthly,129,8,,,[8.0]
TS,monthly,15,14,,,[14.0]
FLUT,monthly,54,10,,,[10.0]
PRECT,monthly,79,8,,,[8.0]
LHFLX,monthly,89,8,,,[8.0]
Z500,monthly,75,16,,,[16.0]
TAUX,monthly,130,8,,,[8.0]
TS,monthly,16,14,,,[14.0]
PRECT,monthly,80,10,,,[10.0]
FLUT,monthly,55,10,,,[10.0]
LHFLX,monthly,90,8,,,[8.0]
Z500,monthly,76,16,,,[16.0]
TS,monthly,17,14,,,[14.0]
TAUX,monthly,131,8,,,[8.0]
PRECT,monthly,81,8,,,[8.0]
LHFLX,monthly,91,8,,,[8.0]
Z500,monthly,77,16,,,[16.0]
FLUT,monthly,56,10,,,[10.0]
TAUX,monthly,132,8,,,[8.0]
TS,monthly,18,14,,,[14.0]
FLUT,monthly,57,10,,,[10.0]
LHFLX,monthly,92,8,,,[8.0]
PRECT,monthly,82,10,,,[10.0]
TAUX,monthly,133,8,,,[8.0]
Z500,monthly,78,16,,,[16.0]
Z500,monthly,79,16,,,[16.0]
LHFLX,monthly,93,8,,,[8.0]
PRECT,monthly,83,8,,,[8.0]
FLUT,monthly,58,10,,,[10.0]
TS,monthly,19,14,,,[14.0]
TAUX,monthly,134,8,,,[8.0]
Z500,monthly,80,16,,,[16.0]
LHFLX,monthly,94,8,,,[8.0]
PRECT,monthly,84,8,,,[8.0]
TAUX,monthly,135,8,,,[8.0]
TS,monthly,20,14,,,[14.0]
FLUT,monthly,59,10,,,[10.0]
Z500,monthly,81,16,,,[16.0]
LHFLX,monthly,95,8,,,[8.0]
PRECT,monthly,85,8,,,[8.0]
TAUX,monthly,136,8,,,[8.0]
FLUT,monthly,60,10,,,[10.0]
TS,monthly,21,14,,,[14.0]
Z500,monthly,82,16,,,[16.0]
LHFLX,monthly,96,8,,,[8.0]
FLUT,monthly,61,10,,,[10.0]
PRECT,monthly,86,8,,,[8.0]
TAUX,monthly,137,8,,,[8.0]
TS,monthly,22,14,,,[14.0]
Z500,monthly,83,16,,,[16.0]
FLUT,monthly,62,10,,,[10.0]
LHFLX,monthly,97,8,,,[8.0]
TAUX,monthly,138,8,,,[8.0]
TS,monthly,23,14,,,[14.0]
PRECT,monthly,87,8,,,[8.0]
Z500,monthly,84,16,,,[16.0]
FLUT,monthly,63,10,,,[10.0]
LHFLX,monthly,98,8,,,[8.0]
TS,monthly,24,14,,,[14.0]
PRECT,monthly,88,8,,,[8.0]
TAUX,monthly,139,8,,,[8.0]
FLUT,monthly,64,10,,,[10.0]
Z500,monthly,85,16,,,[16.0]
LHFLX,monthly,99,8,,,[8.0]
PRECT,monthly,89,8,,,[8.0]
FLUT,monthly,65,10,,,[10.0]
TAUX,monthly,140,8,,,[8.0]
PRECT,monthly,90,8,,,[8.0]
LHFLX,monthly,100,8,,,[8.0]
FLUT,monthly,66,10,,,[10.0]
Z500,monthly,86,16,,,[16.0]
PRECT,monthly,91,8,,,[8.0]
TS,monthly,25,14,,,[14.0]
FLUT,monthly,67,10,,,[10.0]
TAUX,monthly,141,8,,,[8.0]
LHFLX,monthly,101,8,,,[8.0]
Z500,monthly,87,16,,,[16.0]
TAUX,monthly,142,8,,,[8.0]
TS,monthly,26,14,,,[14.0]
Z500,monthly,88,16,,,[16.0]
PRECT,monthly,92,8,,,[8.0]
FLUT,monthly,68,10,,,[10.0]
LHFLX,monthly,102,8,,,[8.0]
TAUX,monthly,143,8,,,[8.0]
FLUT,monthly,69,10,,,[10.0]
PRECT,monthly,93,8,,,[8.0]
Z500,monthly,89,16,,,[16.0]
TS,monthly,27,14,,,[14.0]
TAUX,monthly,144,8,,,[8.0]
LHFLX,monthly,103,8,,,[8.0]
FLUT,monthly,70,10,,,[10.0]
Z500,monthly,90,16,,,[16.0]
TS,monthly,28,14,,,[14.0]
LHFLX,monthly,104,8,,,[8.0]
FLUT,monthly,71,10,,,[10.0]
TAUX,monthly,145,8,,,[8.0]
PRECT,monthly,94,8,,,[8.0]
TS,monthly,29,14,,,[14.0]
LHFLX,monthly,105,8,,,[8.0]
Z500,monthly,91,16,,,[16.0]
TS,monthly,30,14,,,[14.0]
PRECT,monthly,95,8,,,[8.0]
FLUT,monthly,72,10,,,[10.0]
TAUX,monthly,146,8,,,[8.0]
Z500,monthly,92,16,,,[16.0]
LHFLX,monthly,106,8,,,[8.0]
PRECT,monthly,96,8,,,[8.0]
TS,monthly,31,14,,,[14.0]
FLUT,monthly,73,10,,,[10.0]
LHFLX,monthly,107,8,,,[8.0]
PRECT,monthly,97,8,,,[8.0]
TAUX,monthly,147,8,,,[8.0]
Z500,monthly,93,16,,,[16.0]
TS,monthly,32,14,,,[14.0]
PRECT,monthly,98,8,,,[8.0]
LHFLX,monthly,108,8,,,[8.0]
FLUT,monthly,74,10,,,[10.0]
TAUX,monthly,148,8,,,[8.0]
Z500,monthly,94,16,,,[16.0]
TS,monthly,33,14,,,[14.0]
PRECT,monthly,99,10,,,[10.0]
Z500,monthly,95,16,,,[16.0]
TAUX,monthly,149,8,,,[8.0]
FLUT,monthly,75,10,,,[10.0]
TS,monthly,34,14,,,[14.0]
LHFLX,monthly,109,8,,,[8.0]
PRECT,monthly,100,8,,,[8.0]
Z500,monthly,96,16,,,[16.0]
TAUX,monthly,150,8,,,[8.0]
TS,monthly,35,14,,,[14.0]
LHFLX,monthly,110,8,,,[8.0]
FLUT,monthly,76,10,,,[10.0]
PRECT,monthly,101,8,,,[8.0]
TAUX,monthly,151,8,,,[8.0]
Z500,monthly,97,16,,,[16.0]
TS,monthly,36,14,,,[14.0]
TAUX,monthly,152,8,,,[8.0]
PRECT,monthly,102,8,,,[8.0]
LHFLX,monthly,111,8,,,[8.0]
Z500,monthly,98,16,,,[16.0]
FLUT,monthly,77,10,,,[10.0]
TS,monthly,37,14,,,[14.0]
TAUX,monthly,153,8,,,[8.0]
Z500,monthly,99,16,,,[16.0]
LHFLX,monthly,112,8,,,[8.0]
PRECT,monthly,103,8,,,[8.0]
FLUT,monthly,78,10,,,[10.0]
TAUX,monthly,154,8,,,[8.0]
FLUT,monthly,79,10,,,[10.0]
Z500,monthly,100,16,,,[16.0]
LHFLX,monthly,113,8,,,[8.0]
TS,monthly,38,14,,,[14.0]
PRECT,monthly,104,8,,,[8.0]
Z500,monthly,101,16,,,[16.0]
TS,monthly,39,14,,,[14.0]
LHFLX,monthly,114,8,,,[8.0]
TAUX,monthly,155,8,,,[8.0]
FLUT,monthly,80,10,,,[10.0]
TS,monthly,40,14,,,[14.0]
Z500,monthly,102,16,,,[16.0]
PRECT,monthly,105,8,,,[8.0]
FLUT,monthly,81,10,,,[10.0]
LHFLX,monthly,115,8,,,[8.0]
TS,monthly,41,14,,,[14.0]
Z500,monthly,103,16,,,[16.0]
TAUX,monthly,156,8,,,[8.0]
FLUT,monthly,82,10,,,[10.0]
LHFLX,monthly,116,8,,,[8.0]
PRECT,monthly,106,8,,,[8.0]
TS,monthly,42,14,,,[14.0]
TAUX,monthly,157,8,,,[8.0]
Z500,monthly,104,16,,,[16.0]
FLUT,monthly,83,10,,,[10.0]
PRECT,monthly,107,8,,,[8.0]
LHFLX,monthly,117,8,,,[8.0]
TS,monthly,43,14,,,[14.0]
FLUT,monthly,84,10,,,[10.0]
LHFLX,monthly,118,8,,,[8.0]
TAUX,monthly,158,8,,,[8.0]
Z500,monthly,105,16,,,[16.0]
PRECT,monthly,108,8,,,[8.0]
LHFLX,monthly,119,8,,,[8.0]
TS,monthly,44,14,,,[14.0]
TAUX,monthly,159,8,,,[8.0]
FLUT,monthly,85,10,,,[10.0]
TS,monthly,45,14,,,[14.0]
Z500,monthly,106,16,,,[16.0]
PRECT,monthly,109,8,,,[8.0]
LHFLX,monthly,120,8,,,[8.0]
Z500,monthly,107,16,,,[16.0]
PRECT,monthly,110,8,,,[8.0]
TS,monthly,46,14,,,[14.0]
FLUT,monthly,86,10,,,[10.0]
TAUX,monthly,160,8,,,[8.0]
LHFLX,monthly,121,8,,,[8.0]
Z500,monthly,108,16,,,[16.0]
TAUX,monthly,161,8,,,[8.0]
PRECT,monthly,111,8,,,[8.0]
TS,monthly,47,14,,,[14.0]
FLUT,monthly,87,10,,,[10.0]
Z500,monthly,109,16,,,[16.0]
TS,monthly,48,14,,,[14.0]
PRECT,monthly,112,10,,,[10.0]
TAUX,monthly,162,8,,,[8.0]
LHFLX,monthly,122,8,,,[8.0]
FLUT,monthly,88,10,,,[10.0]
Z500,monthly,110,16,,,[16.0]
LHFLX,monthly,123,8,,,[8.0]
Z500,monthly,111,16,,,[16.0]
PRECT,monthly,113,8,,,[8.0]
TAUX,monthly,163,8,,,[8.0]
TS,monthly,49,14,,,[14.0]
Z500,monthly,112,16,,,[16.0]
TAUX,monthly,164,8,,,[8.0]
FLUT,monthly,89,10,,,[10.0]
PRECT,monthly,114,8,,,[8.0]
LHFLX,monthly,124,8,,,[8.0]
TAUX,monthly,165,8,,,[8.0]
TS,monthly,50,14,,,[14.0]
Z500,monthly,113,16,,,[16.0]
TS,monthly,51,14,,,[14.0]
LHFLX,monthly,125,8,,,[8.0]
FLUT,monthly,90,10,,,[10.0]
Z500,monthly,114,16,,,[16.0]
PRECT,monthly,115,8,,,[8.0]
TAUX,monthly,166,8,,,[8.0]
